# 术语纠错表 —— Whisper 对专有名词特别容易出同音错字。
#
# 格式：每行「错词 <TAB> 正确词」。以 # 开头的是注释，空行忽略。
# 用法：python scripts/transcribe.py --src "D:/素材" --out t.tsv --terms my_terms.tsv
#
# 怎么攒这张表：
#   先不带 --terms 跑一遍，通读转写结果，把错的地方记下来，
#   逐条加进这张表再重跑（或直接用脚本做后处理替换，不必重转）。
#
# ⚠️ 下面全部是**虚构示例**，只为展示格式和错法规律，换成你自己场景的词。

# ---- 人名 / 账号名：错得最离谱的一类，两个字能被听成七八种写法 ----
林许	林序
林绪	林序
临序	林序
淋序	林序
林絮	林序
邻序	林序
林旭	林序
凌序	林序

# ---- 地名 / 景点名：方言口音下最容易变形 ----
古浪屿	鼓浪屿
鼓浪雨	鼓浪屿
古浪雨	鼓浪屿
容城	榕城
融城	榕城
荣城	榕城

# ---- App / 设备名：英文名被按发音拼成中文或拼错 ----
StreamLap	StreamLab
StreamLad	StreamLab
StreamLight	StreamLab

# ---- 拍摄 / 剪辑术语：数字加专业词最容易吞音 ----
调色预舍	调色预设
运境	运镜
运静	运镜

# ---- 常用词：语速快导致的吞音、连读 ----
能害	脑海
网宏打卡	网红打卡
往红打卡	网红打卡
名革	名额
变成食物	变成实物
